,0
STATION,0
STATION_LAT,0
STATION_LON,0
ELEVATION,0
STATION_DATE_TIME,0
CIG- Sky Condition Observation- Ceiling Height Dimension,0
DEW- Air Temperature Observation- Dew Point Temperature,0
MA1- Atmospheric Pressure Observation- Altimeter Setting Rate,0
MA1- Atmospheric Pressure Observation- Station Pressure Rate,0
SLP- Atmospheric Pressure Observation- Sea Level Pressure,0
TMP- Air Temperature Observation- Air Temperature,0
VIS- Visibility Observation- Distance Dimension,0
WND- Wind Observation- Direction Angle,21938
WND- Wind Observation- Type Code,0
WND- Wind Observation- Speed Rate,0
TORNADO_BEGIN_DATE_TIME,440895
TORNADO_END_DATE_TIME,440895
TORNADO_BEGIN_LAT,440915
TORNADO_BEGIN_LON,440915
TORNADO_END_LAT,440915
TORNADO_END_LON,440915
TORNADO_INITIAL_DISTANCE_FROM_STATION,440915
TORNADO_INITIAL_DISTANCE_FROM_STATION_WITHIN_50_km,440915
TORNADO_OCCURRENCE,0
